Office,Pincode
Rajajinagar,560010
Rajanakunte,560064
Rajarajeshwarinagar,560098
"Rajbhavan Bangalore",560001
"Ramamurthy Nagar",560016
Rameshnagar,560037
Ramohalli,560074
"Richmond Town",560025
"Rv Niketan",560059
Sadashivanagar,560080
"Sahakaranagar P O",560092
Samandur,562106
Sampangiramnagar,560027
Sarjapura,562125
"Science Institute",560012
Seshadripuram,560020
Shanthinagar,560027
Sidihoskote,562106
Singanayakanahalli,560064
"Sivan Chetty Gardens",560042
"Sri Chowdeshwari",560054
Srirampuram,560021
"St Johns Medical College",560034
"St Thomas Town",560084
"State Bank Of Mysore Colony",560050
Subramanyapura,560061
"Swimming Pool Extn",560003
Tarabanahalli,560090
Tarahunise,562157
"Tavarekere Bangalore",562130
Tavarekere,560029
Thalaghattapura,560109
Thammanayakanahalli,562106
Thataguni,560082
Thyagarajnagar,560004
"Tilaknagar Bangalore",560041
"Training Command IAF",560006
Tyagrajnagar,560070
"Ullalu Upanagar",560110
Vanakanahalli,562106
Vartur,560087
Vasanthanagar,560001
Venkateshapura,560045
"Vidhana Soudha",560001
Vidyanagara,562157
Vidyaranyapura,560097
"Vijayanagar Bangalore",560040
"Vijayanagar East",560040
Vimanapura,560017
Virgonagar,560049
Viswaneedam,560091
"Viveknagar Bangalore",560047
"Vyalikaval Extn",560003
"West of Chord Road II stage",560086
Whitefield,560066
"Wilson Garden",560027
"Wipro Limited",560100
Yadavanahalli,562107
Yelachenahalli,560078
"Yelahanka Satellite Town",560064
Yelahanka,560064
"Yeshwanthpur Bazar",560022
Yeswanthpura,560022
